nom_prot regne type milieu
Rahsp.TOPa_X_B_A0A0H H TOP A 
Rahsp.TOPb_X_B_A0A0H H TOP A 
EntaerTOPa_X_B_A0A0H H TOP A 
EntaerTOPb_X_B_A0A0H H TOP A 
KleoxyTOPa_M_B_A0A0H H TOP A 
KleoxyTOPb_M_B_A0A0H H TOP A 
Pecsp.TOPa_X_B_A0A0H H TOP A 
Pecsp.TOPd_X_B_A0A0H H TOP A 
Pecsp.TOPb_X_B_A0A0H H TOP A 
Pecsp.TOPc_X_B_A0A0H H TOP A 
Synsp.TOPz_M_B_A0A0H H TOP A 
BarquiTOPz_M_B_A0A0H H TOP A 
BorbroTOPz_M_B_A0A0H H TOP A 
BarhenTOPz_M_B_A0A0H H TOP A 
SalbonTOPa_M_B_A0A0K K TOP A 
SalbonTOPb_M_B_A0A0K K TOP A 
GeotheE1TOPa_T_B_A0A A E1T A 
GeotheE1TOPb_T_B_A0A A E1T A 
NeimenTOPz_M_B_A0A0U U TOP A 
ProstuTOPb_M_B_A0A14 4 TOP A 
ProstuTOPa_M_B_A0A14 4 TOP A 
LiswelTOPa_M_B_A0AI7 7 TOP A 
LiswelTOPb_M_B_A0AM8 8 TOP A 
Artsp.TOPz_M_B_A0K0B B TOP K 
AerhydTOPb_M_B_A0KMV V TOP K 
AerhydTOPa_M_B_A0KQC C TOP K 
Shesp.TOPa_M_B_A0KVA A TOP K 
Shesp.TOPb_M_B_A0KVZ Z TOP K 
MagmarTOPb_X_B_A0LAP P TOP L 
MagmarTOPa_X_B_A0LDV V TOP L 
SynfumTOPz_M_B_A0LER R TOP L 
AcicelTOPz_t_B_A0LWD D TOP L 
GraforTOPz_M_B_A0M5R R TOP M 
MyculcTOPz_M_B_A0PV8 8 TOP P 
ClonovTOPb_X_B_A0Q0S S TOP Q 
ClonovTOPc_X_B_A0Q16 6 TOP Q 
ClonovTOPa_X_B_A0Q2I I TOP Q 
MycsmeTOPz_M_B_A0R5D D TOP R 
BacthuTOPb_M_B_A0R97 7 TOP R 
BacthuTOPa_M_B_A0RCR R TOP R 
CamfetTOPz_M_B_A0RME E TOP R 
BifadoTOPz_M_B_A0ZZQ Q TOP Z 
PelproTOPz_M_B_A1ALD D TOP A 
RutmagTOPz_X_B_A1AXT T TOP A 
PardenTOPz_M_B_A1AZS S TOP A 
ChlphaE1TOPz_M_B_A1B B E1T A 
YerentTOPb_X_B_A1JPS S TOP J 
YerentTOPa_X_B_A1JQE E TOP J 
Azosp.TOPz_M_B_A1K1K K TOP K 
BorturTOPz_M_B_A1R0Q Q TOP R 
ArtaurTOPz_M_B_A1R9W W TOP R 
SheamaTOPb_M_B_A1S57 7 TOP S 
SheamaTOPa_M_B_A1S7J J TOP S 
Nocsp.TOPz_M_B_A1SDN N TOP S 
PsyingTOPb_P_B_A1SW7 7 TOP S 
PsyingTOPa_P_B_A1SXH H TOP S 
MycvanTOPz_M_B_A1TG6 6 TOP T 
AcicitTOPa_M_B_A1TJM M TOP T 
AcicitTOPb_M_B_A1TW2 2 TOP T 
MarhydE1TOPa_X_B_A1T T E1T A 
MarhydE1TOPb_X_B_A1U U E1T A 
Mycsp.TOPz_M_B_A1UML L TOP U 
BarbacTOPz_M_B_A1UT2 2 TOP U 
PolnapTOPz_M_B_A1VUD D TOP V 
Acisp.TOPc_M_B_A1W5K K TOP W 
Acisp.TOPb_M_B_A1W5Y Y TOP W 
Acisp.TOPd_M_B_A1W82 2 TOP W 
Acisp.TOPa_M_B_A1WCW W TOP W 
VereisTOPz_M_B_A1WMQ Q TOP W 
HalhalE1TOPz_X_B_A1W W E1T A 
MetpetTOPa_M_B_A2SCD D TOP S 
MetpetTOPb_M_B_A2SIA A TOP S 
Polsp.TOPb_X_B_A2U2G G TOP U 
Polsp.TOPa_X_B_A2U41 1 TOP U 
StrsanTOPz_X_B_A3CN3 3 TOP C 
ShebalTOPb_M_B_A3D5H H TOP D 
ShebalTOPa_M_B_A3D66 6 TOP D 
ClotheTOPz_t_B_A3DCL L TOP D 
ActpleTOPb_M_B_A3N06 6 TOP N 
ActpleTOPa_M_B_A3N0A A TOP N 
SheloiTOPb_M_B_A3QF4 4 TOP Q 
SheloiTOPa_M_B_A3QFB B TOP Q 
CroatlTOPz_X_B_A3U4R R TOP U 
Marsp.E2TOPz_X_B_A4A A E2T A 
RobbifTOPz_M_B_A4CJB B TOP C 
SaceryTOPz_M_B_A4F6Q Q TOP F 
HerarsTOPa_X_B_A4G1G G TOP G 
HerarsTOPb_X_B_A4G6I I TOP G 
GeotheTOPc_t_B_A4IM8 8 TOP I 
GeotheTOPa_t_B_A4INJ J TOP I 
GeotheTOPb_t_B_A4IP1 1 TOP I 
DesredTOPd_M_B_A4J35 5 TOP J 
DesredTOPb_M_B_A4J5M M TOP J 
DesredTOPc_M_B_A4J5Z Z TOP J 
DesredTOPa_M_B_A4J9H H TOP J 
BurvieTOPa_X_B_A4JFS S TOP J 
BurvieTOPb_X_B_A4JJ2 2 TOP J 
ChlphaTOPz_M_B_A4SGW W TOP S 
AersalTOPb_M_B_A4SHT T TOP S 
AersalTOPa_M_B_A4SQD D TOP S 
PolnecTOPz_M_B_A4T0M M TOP T 
MycgilTOPz_M_B_A4T5R R TOP T 
PsestuTOPa_X_B_A4VKA A TOP V 
PsestuTOPb_X_B_A4VNK K TOP V 
StrsuiTOPz_X_B_A4VV1 1 TOP V 
Entsp.TOPb_X_B_A4W9I I TOP W 
Entsp.TOPa_X_B_A4WAZ Z TOP W 
SaltroTOPz_M_B_A4XC0 0 TOP X 
CalsacTOPz_t_B_A4XIW W TOP X 
CalsacRGz_t_B_A4XJT7 7 RGz J 
PsemenTOPz_X_B_A4XSN N TOP X 
SheputTOPa_M_B_A4Y7N N TOP Y 
SheputTOPb_M_B_A4Y87 7 TOP Y 
Brasp.TOPz_X_B_A4YWH H TOP Y 
OritsuTOPz_M_B_A5CF6 6 TOP C 
ClamicTOPz_M_B_A5CPG G TOP C 
VesokuTOPz_X_B_A5CVH H TOP C 
PeltheTOPz_t_B_A5D2W W TOP D 
DicnodTOPz_M_B_A5EWL L TOP E 
FlajohTOPa_M_B_A5FFH H TOP F 
FlajohTOPb_M_B_A5FHK K TOP F 
FlajohTOPc_M_B_A5FIU U TOP F 
AcicryTOPz_M_B_A5FWG G TOP F 
GeouraTOPz_M_B_A5G7S S TOP G 
ThepetTOPz_T_B_A5IKG G TOP I 
ThepetRGz_T_B_A5IKP8 8 RGz K 
MycagaTOPz_M_B_A5IY6 6 TOP I 
ClokluXz_M_B_A5N5N2_ _ Xz_ N 
ClokluTOPz_M_B_A5N72 2 TOP N 
Rossp.TOPz_t_B_A5UT7 7 TOP U 
SphwitTOPz_X_B_A5VD0 0 TOP V 
LacreuTOPz_X_B_A5VJL L TOP V 
Psysp.E1TOPz_M_B_A5W W E1T A 
FlapsyTOPz_P_B_A6H11 1 TOP H 
BacvulTOPb_M_B_A6KYA A TOP K 
BacvulTOPd_M_B_A6L01 1 TOP L 
BacvulTOPa_M_B_A6L0J J TOP L 
BacvulTOPc_M_B_A6L1R R TOP L 
PardisTOPb_M_B_A6LCM M TOP L 
PardisTOPa_M_B_A6LHY Y TOP L 
ThemelTOPz_t_B_A6LLT T TOP L 
ClobeiTOPb_M_B_A6LRS S TOP L 
ClobeiTOPa_M_B_A6LSN N TOP L 
ClobeiTOPc_M_B_A6LUL L TOP L 
Nitsp.TOPz_t_B_A6Q5J J TOP Q 
Nitsp.RGz_t_B_A6Q5V5 5 RGz 5 
Sulsp.TOPz_M_B_A6Q6D D TOP Q 
Jansp.E1TOPz_M_B_A6S S E1T A 
AlkmetTOPc_M_B_A6TMD D TOP T 
AlkmetTOPb_M_B_A6TRR R TOP T 
AlkmetTOPa_M_B_A6TTF F TOP T 
SinmedTOPz_M_B_A6U80 0 TOP U 
ActsucTOPb_M_B_A6VP6 6 TOP V 
ActsucTOPa_M_B_A6VQ1 1 TOP V 
Marsp.E1TOPa_M_B_A6V V E1T A 
Marsp.E1TOPb_M_B_A6W W E1T A 
KinradTOPz_M_B_A6W58 8 TOP W 
BaccytTOPa_M_B_A7GKQ Q TOP G 
BaccytTOPb_M_B_A7GNT T TOP G 
BaccytTOPc_M_B_A7GRG G TOP G 
CamcurTOPz_M_B_A7H0I I TOP H 
Anasp.TOPz_M_B_A7HDU U TOP H 
FernodTOPz_t_B_A7HLU U TOP H 
FernodRGz_t_B_A7HMS7 7 RGz M 
ParlavTOPb_M_B_A7HX0 0 TOP H 
ParlavTOPa_M_B_A7HYK K TOP H 
CamhomTOPb_M_B_A7HZT T TOP H 
CamhomTOPa_M_B_A7I3J J TOP I 
XanautTOPz_M_B_A7IM9 9 TOP I 
VibantTOPa_X_B_A7K6A A TOP K 
RoscasTOPz_t_B_A7NJW W TOP N 
BacmetTOPb_X_B_A7Z1H H TOP Z 
BacmetTOPa_X_B_A7Z4N N TOP Z 
CamconTOPz_X_B_A7ZFR R TOP Z 
StrgorTOPz_M_B_A8AXH H TOP A 
ArcbutTOPz_M_B_A8EWX X TOP E 
RiccanTOPz_M_B_A8EZB B TOP E 
RicmasTOPz_M_B_A8F19 9 TOP F 
PseletTOPz_X_B_A8F3N N TOP F 
BacpumTOPb_M_B_A8FA2 2 TOP F 
BacpumTOPa_M_B_A8FD7 7 TOP F 
ShesedTOPb_P_B_A8FTU U TOP F 
ShesedTOPa_P_B_A8FX7 7 TOP F 
SerproTOPb_M_B_A8G8I I TOP G 
SerproTOPd_M_B_A8GF6 6 TOP G 
SerproTOPa_M_B_A8GFC C TOP G 
SerproTOPc_M_B_A8GJB B TOP G 
RicakaTOPz_M_B_A8GN1 1 TOP G 
ShepeaTOPa_M_B_A8H2S S TOP H 
ShepeaTOPb_M_B_A8H31 1 TOP H 
AzocauTOPz_X_B_A8I2E E TOP I 
DinshiTOPz_M_B_A8LHT T TOP L 
SalareTOPz_M_B_A8M5X X TOP M 
AlkoreTOPc_M_B_A8MG4 4 TOP M 
