nom_prot regne type milieu
FaepraTOPb_M_B B TOP M 
FaepraTOPc_M_B B TOP M 
FaepraTOPd_M_B B TOP M 
FerbalTOPa_M_B B TOP M 
FerbalTOPb_M_B B TOP M 
FernodRGz_T_B B RG T 
FernodTOPz_T_B B TOP T 
FerplaRGz_X_A A RG X 
FerplaTOPz_X_A A TOP X 
FibsucTOPa_M_B B TOP M 
FibsucTOPb_M_B B TOP M 
FilaloTOPa_M_B B TOP M 
FilaloTOPb_M_B B TOP M 
FilaloTOPc_M_B B TOP M 
FinmagTOPa_X_B B TOP X 
FinmagTOPb_X_B B TOP X 
FlabacTOPz_X_B B TOP X 
FlabraTOPz_X_B B TOP X 
FlacolTOPz_X_B B TOP X 
FlajohTOPa_M_B B TOP M 
FlajohTOPb_M_B B TOP M 
FlajohTOPc_M_B B TOP M 
FlapsyTOPz_P_B B TOP P 
FlesinTOPz_X_B B TOP X 
FlutafTOPa_X_B B TOP X 
FlutafTOPb_X_B B TOP X 
FraalnTOPz_M_B B TOP M 
Fracf.TOPz_X_B B TOP X 
FraphiTOPz_M_B B TOP M 
Fra.E1TOPz_X_B B TOP X 
Frasp.TOPz_X_B B TOP X 
FrasymTOPz_M_B B TOP M 
FratulTOPz_X_B B TOP X 
FrefasTOPz_X_B B TOP X 
FusnucTOPz_X_B B TOP X 
GalanaTOPa_X_B B TOP X 
GalanaTOPb_X_B B TOP X 
GalanaTOPc_X_B B TOP X 
GalcapTOPa_M_B B TOP M 
GalcapTOPb_M_B B TOP M 
GalcapTOPc_M_B B TOP M 
GalcapTOPd_M_B B TOP M 
GalgalTOPz_X_E E TOP X 
GarvagTOPz_X_B B TOP X 
GemaurTOPz_M_B B TOP M 
GeobemTOPz_M_B B TOP M 
GeodalTOPz_X_B B TOP X 
GeokauTOPa_T_B B TOP T 
GeokauTOPb_T_B B TOP T 
GeokauTOPc_T_B B TOP T 
GeolovTOPz_M_B B TOP M 
GeometTOPz_M_B B TOP M 
GeoobsTOPz_M_B B TOP M 
Geo.E1TOPz_X_B B TOP X 
Geosp.TOPz_X_B B TOP X 
GeosulTOPz_X_B B TOP X 
GtheE1TOPa_T_B B TOP T 
GtheE1TOPb_T_B B TOP T 
GtheE2TOPa_T_B B TOP T 
GtheE2TOPb_T_B B TOP T 
GtheE2TOPc_T_B B TOP T 
GeotheTOPa_X_B B TOP X 
GeotheTOPb_X_B B TOP X 
GeotheTOPc_X_B B TOP X 
GeouraTOPz_M_B B TOP M 
GlanitTOPa_X_B B TOP X 
GlanitTOPb_X_B B TOP X 
Glasp.TOPa_X_B B TOP X 
Glasp.TOPb_X_B B TOP X 
GlovioTOPa_M_B B TOP M 
GlovioTOPb_M_B B TOP M 
GludiaTOPa_M_B B TOP M 
GludiaTOPb_M_B B TOP M 
GluoxyTOPz_M_B B TOP M 
GluxylTOPz_X_B B TOP X 
GorbroTOPz_X_B B TOP X 
GorpolTOPz_X_B B TOP X 
GrabetTOPz_X_B B TOP X 
GraforTOPz_M_B B TOP M 
GramalTOPz_X_B B TOP X 
HaeducTOPa_X_B B TOP X 
HaeducTOPb_X_B B TOP X 
HaeducTOPc_X_B B TOP X 
HaeinfTOPa_X_B B TOP X 
HaeinfTOPb_X_B B TOP X 
HparE1TOPa_M_B B TOP M 
