prot_1 prot_2 force
CamjejTOPz_M_B BarbacTOPz_M_B 20 
CamjejTOPz_M_B BaucicTOPz_X_B 16 
CamjejTOPz_M_B BruaboTOPz_M_B 20 
CamjejTOPz_M_B CalsacTOPz_T_B 20 
CammedRGz_T_B AcamarTOPa_M_B 20 
CammedRGz_T_B AcibooRGz_T_A 21 
CammedRGz_T_B AcihosRGa_X_A 21 
CammedRGz_T_B AcihosRGb_X_A 21 
CammedRGz_T_B AcisacRGz_T_A 21 
CammedRGz_T_B AerperRGa_T_A 21 
CammedRGz_T_B AerperRGb_T_A 21 
CammedRGz_T_B AquaeoRGa_T_B 21 
CammedRGz_T_B AquaeoRGb_T_B 21 
CammedRGz_T_B ArcfulRGz_T_A 21 
CammedRGz_T_B ArcproRGz_T_A 21 
CammedRGz_T_B ArcvenRGz_T_A 21 
CammedRGz_T_B CalmaqRGz_T_A 21 
CammedRGz_T_B CalsacRGz_T_B 21 
CammedTOPz_T_B AcicapTOPz_M_B 21 
CammedTOPz_T_B AciferTOPa_M_B 20 
CammedTOPz_T_B AmicolTOPz_M_B 21 
CammedTOPz_T_B AnathmTOPz_X_B 20 
CammedTOPz_T_B AquaeoTOPz_T_B 21 
CammedTOPz_T_B BacfraTOPa_M_B 21 
CammedTOPz_T_B BarbacTOPz_M_B 20 
CammedTOPz_T_B BaucicTOPz_X_B 16 
CammedTOPz_T_B BruaboTOPz_M_B 20 
CammedTOPz_T_B CalsacTOPz_T_B 20 
CammedTOPz_T_B CamjejTOPz_M_B 21 
CanalbTOPz_M_E ArathaTOPb_M_E 19 
CanalbTOPz_M_E ArathaTOPc_M_E 19 
CanalbTOPz_M_E CaeeleTOPz_M_E 19 
ChlaurTOPz_T_B AcicapTOPz_M_B 20 
ChlaurTOPz_T_B AciferTOPa_M_B 21 
ChlaurTOPz_T_B AmicolTOPz_M_B 20 
ChlaurTOPz_T_B AnathmTOPz_X_B 21 
ChlaurTOPz_T_B AquaeoTOPz_T_B 20 
ChlaurTOPz_T_B BacfraTOPa_M_B 20 
ChlaurTOPz_T_B BarbacTOPz_M_B 21 
ChlaurTOPz_T_B BruaboTOPz_M_B 21 
ChlaurTOPz_T_B CalsacTOPz_T_B 20 
ChlaurTOPz_T_B CamjejTOPz_M_B 20 
ChlaurTOPz_T_B CammedTOPz_T_B 20 
ChllimTOPz_M_B AcicapTOPz_M_B 21 
ChllimTOPz_M_B AciferTOPa_M_B 20 
ChllimTOPz_M_B AmicolTOPz_M_B 21 
ChllimTOPz_M_B AnathmTOPz_X_B 20 
ChllimTOPz_M_B AquaeoTOPz_T_B 21 
ChllimTOPz_M_B BacfraTOPa_M_B 21 
ChllimTOPz_M_B BarbacTOPz_M_B 20 
ChllimTOPz_M_B BaucicTOPz_X_B 16 
ChllimTOPz_M_B BruaboTOPz_M_B 20 
ChllimTOPz_M_B CalsacTOPz_T_B 20 
ChllimTOPz_M_B CamjejTOPz_M_B 21 
ChllimTOPz_M_B CammedTOPz_T_B 21 
ChllimTOPz_M_B ChlaurTOPz_T_B 20 
ChlpneTOPz_X_B AcicapTOPz_M_B 21 
ChlpneTOPz_X_B AciferTOPa_M_B 20 
ChlpneTOPz_X_B AmicolTOPz_M_B 21 
ChlpneTOPz_X_B AnathmTOPz_X_B 20 
ChlpneTOPz_X_B AquaeoTOPz_T_B 21 
ChlpneTOPz_X_B BacfraTOPa_M_B 21 
ChlpneTOPz_X_B BarbacTOPz_M_B 20 
ChlpneTOPz_X_B BaucicTOPz_X_B 16 
ChlpneTOPz_X_B BruaboTOPz_M_B 20 
ChlpneTOPz_X_B CalsacTOPz_T_B 20 
ChlpneTOPz_X_B CamjejTOPz_M_B 21 
ChlpneTOPz_X_B CammedTOPz_T_B 21 
ChlpneTOPz_X_B ChlaurTOPz_T_B 20 
ChlpneTOPz_X_B ChllimTOPz_M_B 21 
ChrvioTOPz_M_B AcicapTOPz_M_B 20 
ChrvioTOPz_M_B AciferTOPa_M_B 21 
ChrvioTOPz_M_B AmicolTOPz_M_B 20 
ChrvioTOPz_M_B AnathmTOPz_X_B 21 
ChrvioTOPz_M_B AquaeoTOPz_T_B 20 
ChrvioTOPz_M_B BacfraTOPa_M_B 20 
ChrvioTOPz_M_B BarbacTOPz_M_B 21 
ChrvioTOPz_M_B BruaboTOPz_M_B 21 
ChrvioTOPz_M_B CalsacTOPz_T_B 20 
ChrvioTOPz_M_B CamjejTOPz_M_B 20 
ChrvioTOPz_M_B CammedTOPz_T_B 20 
ChrvioTOPz_M_B ChlaurTOPz_T_B 21 
ChrvioTOPz_M_B ChllimTOPz_M_B 20 
ChrvioTOPz_M_B ChlpneTOPz_X_B 20 
CloperTOPa_M_B CanalbTOPz_M_E 16 
CloperTOPb_M_B BacantTOPa_M_B 21 
CloperTOPb_M_B BaccerTOPa_M_B 21 
CloperTOPb_M_B BacsubTOPb_M_B 21 
CloperTOPb_M_B CalsacTOPz_T_B 16 
CloperTOPc_M_B AciferTOPb_M_B 21 
CloperTOPc_M_B AciferTOPc_M_B 21 
CloperTOPc_M_B AersalTOPb_M_B 21 
CloperTOPc_M_B AkkmucTOPz_M_B 21 
CloperTOPc_M_B AroaroTOPa_M_B 21 
CloperTOPc_M_B AroaroTOPb_M_B 21 
CloperTOPc_M_B AtoparTOPz_M_B 21 
CloperTOPc_M_B BacantTOPb_M_B 21 
CloperTOPc_M_B BacantTOPc_M_B 21 
CloperTOPc_M_B BaccerTOPb_M_B 21 
CloperTOPc_M_B BaccerTOPc_M_B 21 
CloperTOPc_M_B BacfraTOPb_M_B 21 
CloperTOPc_M_B BacfraTOPc_M_B 21 
CloperTOPc_M_B BacsubTOPa_M_B 21 
CloperTOPd_M_B ArathaTOPb_M_E 19 
CloperTOPd_M_B ArathaTOPc_M_E 19 
CloperTOPd_M_B CaeeleTOPz_M_E 19 
CloperTOPd_M_B CanalbTOPz_M_E 21 
CloperTOPd_M_B CloperTOPa_M_B 16 
ClotheTOPz_T_B BacantTOPa_M_B 21 
ClotheTOPz_T_B BaccerTOPa_M_B 21 
ClotheTOPz_T_B BacsubTOPb_M_B 21 
ClotheTOPz_T_B CalsacTOPz_T_B 16 
ClotheTOPz_T_B CloperTOPb_M_B 21 
CordipTOPz_M_B AcamarTOPb_M_B 20 
CordipTOPz_M_B AcicelTOPz_T_B 21 
CordipTOPz_M_B AciferTOPz_T_B 21 
CordipTOPz_M_B ArtplaTOPz_M_B 20 
CoxburTOPz_M_B AcicapTOPz_M_B 20 
CoxburTOPz_M_B AciferTOPa_M_B 21 
CoxburTOPz_M_B AmicolTOPz_M_B 20 
CoxburTOPz_M_B AnathmTOPz_X_B 21 
CoxburTOPz_M_B AquaeoTOPz_T_B 20 
CoxburTOPz_M_B BacfraTOPa_M_B 20 
CoxburTOPz_M_B BarbacTOPz_M_B 21 
CoxburTOPz_M_B BruaboTOPz_M_B 21 
CoxburTOPz_M_B CalsacTOPz_T_B 20 
CoxburTOPz_M_B CamjejTOPz_M_B 20 
CoxburTOPz_M_B CammedTOPz_T_B 20 
CoxburTOPz_M_B ChlaurTOPz_T_B 21 
CoxburTOPz_M_B ChllimTOPz_M_B 20 
CoxburTOPz_M_B ChlpneTOPz_X_B 20 
CoxburTOPz_M_B ChrvioTOPz_M_B 21 
CrigriTOPz_M_E ChlaetTOPz_M_E 21 
CryneoTOPz_M_E ArathaTOPb_M_E 21 
CryneoTOPz_M_E ArathaTOPc_M_E 21 
CryneoTOPz_M_E CaeeleTOPz_M_E 21 
CryneoTOPz_M_E CanalbTOPz_M_E 19 
CryneoTOPz_M_E CloperTOPd_M_B 19 
CupnecTOPz_X_B AciferTOPb_M_B 21 
CupnecTOPz_X_B AciferTOPc_M_B 21 
CupnecTOPz_X_B AersalTOPb_M_B 21 
CupnecTOPz_X_B AkkmucTOPz_M_B 21 
CupnecTOPz_X_B AroaroTOPa_M_B 21 
CupnecTOPz_X_B AroaroTOPb_M_B 21 
CupnecTOPz_X_B AtoparTOPz_M_B 21 
CupnecTOPz_X_B BacantTOPb_M_B 21 
CupnecTOPz_X_B BacantTOPc_M_B 21 
CupnecTOPz_X_B BaccerTOPb_M_B 21 
CupnecTOPz_X_B BaccerTOPc_M_B 21 
CupnecTOPz_X_B BacfraTOPb_M_B 21 
CupnecTOPz_X_B BacfraTOPc_M_B 21 
CupnecTOPz_X_B BacsubTOPa_M_B 21 
CupnecTOPz_X_B CloperTOPc_M_B 21 
Cyasp.TOPa_M_B AcamarTOPb_M_B 21 
Cyasp.TOPa_M_B AcicelTOPz_T_B 20 
Cyasp.TOPa_M_B AciferTOPz_T_B 20 
Cyasp.TOPa_M_B ArtplaTOPz_M_B 21 
Cyasp.TOPa_M_B CordipTOPz_M_B 20 
Cyasp.TOPb_M_B AcamarTOPa_M_B 20 
Cyasp.TOPb_M_B AcibooRGz_T_A 21 
Cyasp.TOPb_M_B AcihosRGa_X_A 21 
Cyasp.TOPb_M_B AcihosRGb_X_A 21 
Cyasp.TOPb_M_B AcisacRGz_T_A 21 
Cyasp.TOPb_M_B AerperRGa_T_A 21 
Cyasp.TOPb_M_B AerperRGb_T_A 21 
Cyasp.TOPb_M_B AquaeoRGa_T_B 21 
Cyasp.TOPb_M_B AquaeoRGb_T_B 21 
Cyasp.TOPb_M_B ArcfulRGz_T_A 21 
Cyasp.TOPb_M_B ArcproRGz_T_A 21 
Cyasp.TOPb_M_B ArcvenRGz_T_A 21 
Cyasp.TOPb_M_B CalmaqRGz_T_A 21 
Cyasp.TOPb_M_B CalsacRGz_T_B 21 
Cyasp.TOPb_M_B CammedRGz_T_B 21 
DaucarTOPz_M_E ArathaTOPb_M_E 19 
DaucarTOPz_M_E ArathaTOPc_M_E 19 
DaucarTOPz_M_E CaeeleTOPz_M_E 19 
DaucarTOPz_M_E CanalbTOPz_M_E 21 
DaucarTOPz_M_E CloperTOPa_M_B 16 
DaucarTOPz_M_E CloperTOPd_M_B 21 
DaucarTOPz_M_E CryneoTOPz_M_E 19 
DehlykTOPz_M_B AcicapTOPz_M_B 20 
DehlykTOPz_M_B AciferTOPa_M_B 21 
